Division,Date,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Shots,Away_Shots,Home_Shots_on_Target,Away_Shots_on_Target,Home_Corners,Away_Corners,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards
SP1,2014-11-22,Ath Madrid,Malaga,3,1,H,11,4,5,1,4,3,1,3,1,1
SP1,2014-11-22,Barcelona,Sevilla,5,1,H,16,2,10,0,5,4,1,2,0,0
SP1,2014-11-22,Eibar,Real Madrid,0,4,A,10,19,2,8,4,2,4,2,0,0
SP1,2014-11-22,La Coruna,Sociedad,0,0,D,11,17,4,5,8,6,3,1,0,0
SP1,2014-11-23,Vallecano,Celta,1,0,H,9,14,3,4,2,9,6,4,0,0
SP1,2014-11-23,Elche,Cordoba,2,2,D,17,10,6,3,6,2,3,4,0,0
SP1,2014-11-23,Levante,Valencia,2,1,H,10,17,5,6,4,5,2,1,0,0
SP1,2014-11-23,Villarreal,Getafe,2,1,H,10,15,4,5,7,4,3,2,0,0
SP1,2014-11-24,Granada,Almeria,0,0,D,24,3,11,1,10,5,4,0,0,1
SP1,2014-11-28,Sociedad,Elche,3,0,H,12,13,8,5,2,1,2,4,0,0
SP1,2014-11-29,Celta,Eibar,0,1,A,29,8,9,2,15,1,4,5,0,0
SP1,2014-11-29,Espanol,Levante,2,1,H,10,16,4,3,5,6,2,3,0,0
SP1,2014-11-29,Getafe,Ath Bilbao,1,2,A,14,8,7,3,2,4,7,5,0,0
SP1,2014-11-29,Malaga,Real Madrid,1,2,A,12,21,7,9,5,6,2,2,0,1
SP1,2014-11-30,Ath Madrid,La Coruna,2,0,H,9,3,4,1,5,3,2,2,0,0
SP1,2014-11-30,Cordoba,Villarreal,0,2,A,11,10,2,7,9,8,2,2,0,0
SP1,2014-11-30,Sevilla,Granada,5,1,H,13,9,8,4,7,4,1,2,0,0
SP1,2014-11-30,Valencia,Barcelona,0,1,A,12,7,4,1,5,5,3,3,0,0
SP1,2014-12-13,Cordoba,Levante,0,0,D,13,12,4,3,7,6,0,3,0,0
SP1,2014-12-13,Getafe,Barcelona,0,0,D,4,23,2,2,4,5,2,0,0,0
SP1,2014-12-13,Malaga,Celta,1,0,H,12,14,4,8,1,9,5,4,0,0
SP1,2014-12-13,Valencia,Vallecano,3,0,H,14,19,6,4,6,2,3,3,1,0
SP1,2014-12-14,Sociedad,Ath Bilbao,1,1,D,14,12,4,5,3,6,0,3,0,1
SP1,2014-12-14,Sevilla,Eibar,0,0,D,16,6,2,2,11,2,3,6,0,0
SP1,2014-12-14,Espanol,Granada,2,1,H,12,7,4,6,2,3,2,4,0,1
SP1,2014-12-14,Ath Madrid,Villarreal,0,1,A,11,7,2,4,7,2,4,3,0,0
SP1,2014-12-15,La Coruna,Elche,1,0,H,15,10,3,4,7,5,5,2,0,0
SP1,2014-12-19,Celta,Almeria,0,1,A,19,4,4,2,17,2,6,4,0,0
SP1,2014-12-20,Barcelona,Cordoba,5,0,H,16,7,9,2,8,0,1,0,0,0
SP1,2014-12-20,Eibar,Valencia,0,1,A,8,10,2,3,2,5,7,3,0,0
SP1,2014-12-20,Levante,Sociedad,1,1,D,11,3,2,2,3,4,3,5,0,0
SP1,2014-12-20,Vallecano,Espanol,1,3,A,16,7,5,4,4,5,3,4,0,1
SP1,2014-12-21,Ath Bilbao,Ath Madrid,1,4,A,4,5,2,4,3,1,3,4,0,0
SP1,2014-12-21,Elche,Malaga,1,2,A,9,19,3,10,5,4,2,1,0,0
SP1,2014-12-21,Granada,Getafe,1,1,D,13,12,3,4,3,5,4,2,0,0
SP1,2014-12-21,Villarreal,La Coruna,3,0,H,15,10,9,2,5,2,1,3,1,0
SP1,2015-01-16,Cordoba,Eibar,1,1,D,14,6,5,1,2,3,4,3,1,1
SP1,2015-01-17,Villarreal,Ath Bilbao,2,0,H,19,11,6,5,9,6,2,2,0,0
SP1,2015-01-17,Valencia,Almeria,3,2,H,15,8,8,2,8,4,2,2,0,0
SP1,2015-01-17,Sociedad,Vallecano,0,1,A,10,12,2,4,8,4,0,4,0,0
SP1,2015-01-17,Espanol,Celta,1,0,H,15,3,3,2,9,1,3,3,0,0
SP1,2015-01-18,Ath Madrid,Granada,2,0,H,12,5,3,1,3,6,3,3,0,0
SP1,2015-01-18,Elche,Levante,1,0,H,15,9,6,2,3,5,3,3,0,1
